year,dist_name,dist_code,enrollment,size,attendance_rate,reduced_share,free_share,lunch_share,homeless_share,graduation_rate,act_composite,act_writing,local_revenue,all_revenue,tcec,tec,tdc,rev_cost_ratio
2023,Abbotsford,0007,815,Small,0.95037,0,0.75956,0.75956,0.0773,1,16.1,5.67,NA,NA,NA,NA,NA,NA
2023,Adams-Friendship Area,0014,1286,Medium,0.91269,0,0.92379,0.92379,0.02255,0.93028,17.61,5.77,NA,NA,NA,NA,NA,NA
2023,Albany,0063,294,Small,0.9388,0.04777,0.28662,0.33439,0.0102,0.94898,20.25,6.55,NA,NA,NA,NA,NA,NA
2023,Algoma,0070,640,Small,0.94071,0.07729,0.42429,0.50158,0.01562,0.93,17.51,6.48,NA,NA,NA,NA,NA,NA
2023,Alma,0084,245,Small,0.93363,0.04819,0.36948,0.41767,0.00408,0.98551,18.69,6.31,NA,NA,NA,NA,NA,NA
2023,Alma Center,0091,573,Small,0.94535,0,0.73473,0.73473,0.02443,0.92903,19.37,6.61,NA,NA,NA,NA,NA,NA
2023,Almond-Bancroft,0105,353,Small,0.94302,0.10826,0.43305,0.54131,0.02833,1,16.3,5.9,NA,NA,NA,NA,NA,NA
2023,Altoona,0112,1832,Medium,0.9475,0.07256,0.30933,0.38189,0.01365,0.96627,20.4,7.26,NA,NA,NA,NA,NA,NA
2023,Amery,0119,1326,Medium,0.95727,0.08375,0.26715,0.3509,0.00528,0.98434,19.21,5.35,NA,NA,NA,NA,NA,NA
2023,Tomorrow River,0126,1200,Medium,0.94061,0.05791,0.2567,0.31461,8.3e-4,0.96243,19.61,6.38,NA,NA,NA,NA,NA,NA
2023,Antigo Unified,0140,1999,Medium,0.91122,0,0.77555,0.77555,0.01651,0.90223,17.96,6.24,NA,NA,NA,NA,NA,NA
2023,Appleton Area,0147,15230,Large,0.92861,0.03621,0.47671,0.51292,0.03782,0.90684,19.23,6.27,NA,NA,NA,NA,NA,NA
2023,Arcadia,0154,1293,Medium,0.95015,0.125,0.68003,0.80503,0.00851,0.95332,17.1,6.26,NA,NA,NA,NA,NA,NA
